,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReportWeekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Name,,Squad Number,Player Full Name,,mins played,Team Name,Match Name,Position Tag,As At Date,Round Name,Match Date,Yellow Card,Red Card,Goal,Assist,Dribble,Offside,Own Goal,Goal Against,Stand. Tackle,Unsucc Stand. Tackle,Tackle,Unsucc Tackle,Def Aerial,Unsucc Def Aerial,Clear,Headed Clear,Own Box Clear,Progr Rec,Unprogr Rec,Progr Inter,Unprogr Inter,Progr Regain ,Blocked Shot,Blocked Cross,Stand. Tackle Success ,Tackle Success ,Def Aerial Success ,Att 1v1,Att Aerial,Efforts on Goal,Header on Target,Header off Target,Shot on Target,Shot off Target,Att Shot Blockd,Cross,Unsucc Cross,Efficiency ,Side Back,Unsucc Side Back,Long,Unsucc Long,Forward,Unsucc Forward,Line Break,Pass into Oppo Box,Loss of Poss,Success,Unsuccess,Pass Completion ,Progr Pass Attempt ,Progr Pass Completion ,Foul Won,Foul Conceded,FK,Unsucc FK,Corner Kick,Short Corner,Unsucc Corner Kick,PK Won,PK Conceded,PK Scored,PK Missed,Throw,Unsucc Throw,Hands GK,Unsucc Hands,Ground GK,Unsucc Ground,Save Held,Save Parried,Save % ,Successful Cross,Opposition,
1st Half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,Brendan Furlonge,,45,Boston Bolts U16,Boston Bolts U16 vs. BW Gottschee U16 2023-09-17,RB,9/17/2023 12:00:00 AM,Round 0917,9/17/2023 12:00:00 AM,0,0,0,0,2,0,0,0,4,3,0,0,1,0,0,0,0,2,0,1,0,100,0,0,57.14,,100,0,0,0,0,0,0,0,0,0,0,,4,0,0,0,6,3,3,1,3,10,3,76.92,69.23,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,BW Gottschee U16,
,,0,Devin Smith,,45,Boston Bolts U16,Boston Bolts U16 vs. BW Gottschee U16 2023-09-17,LB,9/17/2023 12:00:00 AM,Round 0917,9/17/2023 12:00:00 AM,0,0,0,0,5,0,0,0,5,3,1,0,1,0,1,1,0,1,1,0,0,50,0,0,62.5,100,100,1,0,0,0,0,0,0,0,0,0,,8,0,0,0,6,3,3,0,7,14,3,82.35,52.94,66.67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,BW Gottschee U16,
,,0,Finn van Clief,,45,Boston Bolts U16,Boston Bolts U16 vs. BW Gottschee U16 2023-09-17,ATT,9/17/2023 12:00:00 AM,Round 0917,9/17/2023 12:00:00 AM,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,50,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,1,0,2,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,BW Gottschee U16,
,,0,Jake Ciavarro,,45,Boston Bolts U16,Boston Bolts U16 vs. BW Gottschee U16 2023-09-17,DM,9/17/2023 12:00:00 AM,Round 0917,9/17/2023 12:00:00 AM,0,0,0,0,4,0,0,0,7,1,0,0,1,1,2,3,1,4,2,2,0,75,0,0,87.5,,50,1,0,0,0,0,0,0,0,0,0,,8,1,0,0,6,3,0,0,1,14,4,77.78,50,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,BW Gottschee U16,
,,0,Jonah Greenblatt,,45,Boston Bolts U16,Boston Bolts U16 vs. BW Gottschee U16 2023-09-17,LW,9/17/2023 12:00:00 AM,Round 0917,9/17/2023 12:00:00 AM,0,0,0,0,3,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,100,0,0,,,100,0,0,0,0,0,0,0,0,1,0,,4,1,0,0,2,0,0,0,4,6,1,85.71,28.57,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,BW Gottschee U16,
,,0,Kaio Morias,,45,Boston Bolts U16,Boston Bolts U16 vs. BW Gottschee U16 2023-09-17,RW,9/17/2023 12:00:00 AM,Round 0917,9/17/2023 12:00:00 AM,0,0,0,0,5,0,0,0,2,4,0,1,0,0,1,0,1,0,0,0,0,,0,0,33.33,0,,1,0,0,0,0,0,0,0,1,2,,4,1,0,1,0,0,1,1,5,4,2,66.67,16.67,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,BW Gottschee U16,
,,0,Marcus Cooper,,45,Boston Bolts U16,Boston Bolts U16 vs. BW Gottschee U16 2023-09-17,RCB,9/17/2023 12:00:00 AM,Round 0917,9/17/2023 12:00:00 AM,0,0,0,0,2,0,0,0,4,1,0,0,0,0,6,0,2,6,1,1,0,87.5,1,0,80,,,1,0,0,0,0,0,0,0,0,0,,10,0,1,0,9,3,4,0,1,20,3,86.96,56.52,76.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,BW Gottschee U16,
,,0,Sam Cunniffe,,45,Boston Bolts U16,Boston Bolts U16 vs. BW Gottschee U16 2023-09-17,LCB,9/17/2023 12:00:00 AM,Round 0917,9/17/2023 12:00:00 AM,0,0,0,0,16,0,0,0,3,2,0,0,2,1,9,1,4,10,0,2,0,100,0,1,60,,66.67,0,0,0,0,0,0,0,0,0,0,,11,0,2,5,16,4,14,1,0,29,9,76.32,71.05,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,BW Gottschee U16,
,,0,Vasilian Mbrice,,45,Boston Bolts U16,Boston Bolts U16 vs. BW Gottschee U16 2023-09-17,CM,9/17/2023 12:00:00 AM,Round 0917,9/17/2023 12:00:00 AM,0,0,0,0,1,0,0,0,5,3,0,0,0,0,0,0,0,1,1,0,0,50,0,0,62.5,,,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,3,4,1,0,0,4,5,44.44,77.78,42.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,BW Gottschee U16,
