,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReportWeekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Name,,Squad Number,Player Full Name,,mins played,Team Name,Match Name,Position Tag,As At Date,Round Name,Match Date,Yellow Card,Red Card,Goal,Assist,Dribble,Offside,Own Goal,Goal Against,Stand. Tackle,Unsucc Stand. Tackle,Tackle,Unsucc Tackle,Def Aerial,Unsucc Def Aerial,Clear,Headed Clear,Own Box Clear,Progr Rec,Unprogr Rec,Progr Inter,Unprogr Inter,Progr Regain ,Blocked Shot,Blocked Cross,Stand. Tackle Success ,Tackle Success ,Def Aerial Success ,Att 1v1,Att Aerial,Efforts on Goal,Header on Target,Header off Target,Shot on Target,Shot off Target,Att Shot Blockd,Cross,Unsucc Cross,Efficiency ,Side Back,Unsucc Side Back,Long,Unsucc Long,Forward,Unsucc Forward,Line Break,Pass into Oppo Box,Loss of Poss,Success,Unsuccess,Pass Completion ,Progr Pass Attempt ,Progr Pass Completion ,Foul Won,Foul Conceded,FK,Unsucc FK,Corner Kick,Short Corner,Unsucc Corner Kick,PK Won,PK Conceded,PK Scored,PK Missed,Throw,Unsucc Throw,Hands GK,Unsucc Hands,Ground GK,Unsucc Ground,Save Held,Save Parried,Save % ,Successful Cross,Opposition,Starts,,Unsucc Att 1v1,Att 1v1 Success % ,Unsucc Dribble,Dribble Success % ,Throw in,Opp Effort on Goal
1st Half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,Adlani Rodriguez,,19,Boston Bolts U15,Boston Bolts U15 vs. Seacoast United 2024-02-10,DM,2/10/2024 12:00:00 AM,Round 0210,2/10/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,2,1,1,50,1,0,,,100,0,0,0,0,0,0,0,0,0,0,,5,0,0,0,2,1,0,0,1,7,1,87.5,37.5,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast United,0,,0,,0,,0,0
,,0,Aiden Mejia,,40,Boston Bolts U15,Boston Bolts U15 vs. Seacoast United 2024-02-10,LB,2/10/2024 12:00:00 AM,Round 0210,2/10/2024 12:00:00 AM,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,1,2,1,81.82,0,1,,,,0,0,1,0,0,1,0,0,0,0,100,8,2,0,0,24,8,0,2,4,32,10,76.19,76.19,75,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast United,1,,0,,0,100,8,0
,,0,Christian Kence,,40,Boston Bolts U15,Boston Bolts U15 vs. Seacoast United 2024-02-10,AM,2/10/2024 12:00:00 AM,Round 0210,2/10/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,75,0,0,,,,0,0,0,0,0,0,0,0,0,0,,22,2,0,0,13,3,0,0,2,35,5,87.5,40,81.25,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast United,1,,0,,0,,2,0
,,0,Dean Lundqvist,,40,Boston Bolts U15,Boston Bolts U15 vs. Seacoast United 2024-02-10,LCB,2/10/2024 12:00:00 AM,Round 0210,2/10/2024 12:00:00 AM,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,12,2,0,2,75,0,1,100,,100,0,0,0,0,0,0,0,0,0,0,,13,1,0,1,12,3,0,0,0,25,5,83.33,53.33,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast United,1,,0,,0,,0,0
,,0,Ethan Fine,,19,Boston Bolts U15,Boston Bolts U15 vs. Seacoast United 2024-02-10,ATT,2/10/2024 12:00:00 AM,Round 0210,2/10/2024 12:00:00 AM,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,100,,0,0,0,0,0,0,0,0,1,0,,2,0,0,0,2,3,0,0,3,4,3,57.14,71.43,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast United,0,,0,,0,100,2,0
,,0,Gabriel Raley,,21,Boston Bolts U15,Boston Bolts U15 vs. Seacoast United 2024-02-10,RB,2/10/2024 12:00:00 AM,Round 0210,2/10/2024 12:00:00 AM,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,100,0,0,100,,100,0,0,0,0,0,0,0,0,0,2,,5,0,0,0,5,1,1,0,2,10,1,90.91,54.55,83.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast United,1,,0,,0,,2,0
,,0,Jack Seaborn,,40,Boston Bolts U15,Boston Bolts U15 vs. Seacoast United 2024-02-10,GK,2/10/2024 12:00:00 AM,Round 0210,2/10/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,100,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,2,0,16,0,0,0,0,18,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,2,2,100,1,Seacoast United,1,,0,,0,,0,6
,,0,Julian Martinez,,21,Boston Bolts U15,Boston Bolts U15 vs. Seacoast United 2024-02-10,ATT,2/10/2024 12:00:00 AM,Round 0210,2/10/2024 12:00:00 AM,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1,75,0,0,,,,0,0,2,0,0,1,1,0,0,0,50,7,0,0,0,5,0,0,1,0,12,0,100,41.67,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast United,1,,0,,0,,0,0
,,0,Maman Fadi,,21,Boston Bolts U15,Boston Bolts U15 vs. Seacoast United 2024-02-10,DM,2/10/2024 12:00:00 AM,Round 0210,2/10/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,100,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,,5,0,0,0,3,3,0,0,1,8,3,72.73,54.55,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast United,1,,0,,0,,0,0
