,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReportWeekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Name,,Squad Number,Player Full Name,,mins played,Team Name,Match Name,Position Tag,As At Date,Round Name,Match Date,Yellow Card,Red Card,Goal,Assist,Dribble,Offside,Own Goal,Goal Against,Stand. Tackle,Unsucc Stand. Tackle,Tackle,Unsucc Tackle,Def Aerial,Unsucc Def Aerial,Clear,Headed Clear,Own Box Clear,Progr Rec,Unprogr Rec,Progr Inter,Unprogr Inter,Progr Regain ,Blocked Shot,Blocked Cross,Stand. Tackle Success ,Tackle Success ,Def Aerial Success ,Att 1v1,Att Aerial,Efforts on Goal,Header on Target,Header off Target,Shot on Target,Shot off Target,Att Shot Blockd,Cross,Unsucc Cross,Efficiency ,Side Back,Unsucc Side Back,Long,Unsucc Long,Forward,Unsucc Forward,Line Break,Pass into Oppo Box,Loss of Poss,Success,Unsuccess,Pass Completion ,Progr Pass Attempt ,Progr Pass Completion ,Foul Won,Foul Conceded,FK,Unsucc FK,Corner Kick,Short Corner,Unsucc Corner Kick,PK Won,PK Conceded,PK Scored,PK Missed,Throw,Unsucc Throw,Hands GK,Unsucc Hands,Ground GK,Unsucc Ground,Save Held,Save Parried,Successful Cross,Opposition,
1st Half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,David Pousseu,,40,Boston Bolts U15,Boston Bolts U15 vs. Solar U15 2023-05-28,AM,5/28/2023 12:00:00 AM,Round 0528,5/28/2023 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,100,0,0,,,,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,1,0,0,0,2,3,0,100,33.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Solar U15,
,,0,Devin Smith,,40,Boston Bolts U15,Boston Bolts U15 vs. Solar U15 2023-05-28,AM,5/28/2023 12:00:00 AM,Round 0528,5/28/2023 12:00:00 AM,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,1,1,3,0,3,0,100,0,0,100,,,1,0,1,0,0,0,0,1,0,0,0,6,0,0,0,9,2,2,2,5,15,2,88.24,64.71,81.82,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Solar U15,
,,0,Finn van Clief,,40,Boston Bolts U15,Boston Bolts U15 vs. Solar U15 2023-05-28,AM,5/28/2023 12:00:00 AM,Round 0528,5/28/2023 12:00:00 AM,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,100,0,0,100,,,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,4,2,0,100,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Solar U15,
,,0,Karim Eljamal,,40,Boston Bolts U15,Boston Bolts U15 vs. Solar U15 2023-05-28,AM,5/28/2023 12:00:00 AM,Round 0528,5/28/2023 12:00:00 AM,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,2,3,0,71.43,0,0,50,,,0,0,1,0,0,0,1,0,0,0,0,12,0,0,3,14,1,4,0,1,26,4,86.67,60,77.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Solar U15,
,,0,Liam Collins,,40,Boston Bolts U15,Boston Bolts U15 vs. Solar U15 2023-05-28,GK,5/28/2023 12:00:00 AM,Round 0528,5/28/2023 12:00:00 AM,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,4,0,0,0,0,5,0,100,80,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,Solar U15,
,,0,Logan Moniz,,40,Boston Bolts U15,Boston Bolts U15 vs. Solar U15 2023-05-28,AM,5/28/2023 12:00:00 AM,Round 0528,5/28/2023 12:00:00 AM,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,100,0,0,100,,,1,0,1,0,0,1,0,0,0,0,100,12,0,1,1,9,1,1,2,5,22,2,91.67,50,83.33,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Solar U15,
,,0,Marcus Cooper,,40,Boston Bolts U15,Boston Bolts U15 vs. Solar U15 2023-05-28,AM,5/28/2023 12:00:00 AM,Round 0528,5/28/2023 12:00:00 AM,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,33.33,0,0,100,,100,1,0,0,0,0,0,0,0,0,0,,5,0,0,1,6,0,1,0,1,11,1,91.67,58.33,85.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Solar U15,
,,0,Sam Cunnife,,40,Boston Bolts U15,Boston Bolts U15 vs. Solar U15 2023-05-28,AM,5/28/2023 12:00:00 AM,Round 0528,5/28/2023 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,1,2,1,0,50,0,0,,,100,0,0,0,0,0,0,0,0,0,0,,4,0,1,1,17,2,6,0,0,22,3,88,84,85.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Solar U15,
,,0,Vasilian Mbrice,,40,Boston Bolts U15,Boston Bolts U15 vs. Solar U15 2023-05-28,AM,5/28/2023 12:00:00 AM,Round 0528,5/28/2023 12:00:00 AM,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,0,80,0,0,100,,,0,0,0,0,0,0,0,0,0,0,,9,0,0,1,3,0,0,0,3,12,1,92.31,30.77,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Solar U15,
